1 // server
2 // machine
100 // customer

 //p, q, a
1 7 0 //M0
4 4 0 //M1

 M0  M1 
4 2  //C0
4 1  //C1
3 6  //C2
4 6  //C3
2 5  //C4
4 7  //C5
5 4  //C6
9 1  //C7
6 3  //C8
6 8  //C9
3 3  //C10
3 2  //C11
3 4  //C12
4 4  //C13
3 7  //C14
5 1  //C15
8 5  //C16
4 3  //C17
9 8  //C18
5 4  //C19
8 8  //C20
8 6  //C21
0 0  //C22
2 1  //C23
6 1  //C24
3 7  //C25
0 5  //C26
0 1  //C27
9 1  //C28
8 8  //C29
2 0  //C30
3 4  //C31
0 3  //C32
8 9  //C33
0 6  //C34
2 8  //C35
7 2  //C36
0 5  //C37
4 7  //C38
2 2  //C39
2 3  //C40
7 2  //C41
4 7  //C42
1 3  //C43
5 2  //C44
4 7  //C45
0 7  //C46
2 7  //C47
4 3  //C48
5 7  //C49
2 2  //C50
0 0  //C51
8 4  //C52
9 8  //C53
5 4  //C54
6 1  //C55
9 5  //C56
6 8  //C57
3 1  //C58
0 2  //C59
2 4  //C60
4 7  //C61
2 4  //C62
8 0  //C63
9 2  //C64
0 1  //C65
1 4  //C66
0 9  //C67
3 7  //C68
3 9  //C69
7 2  //C70
8 0  //C71
6 2  //C72
7 4  //C73
0 3  //C74
4 3  //C75
3 2  //C76
5 8  //C77
8 2  //C78
7 3  //C79
6 9  //C80
8 2  //C81
4 5  //C82
0 4  //C83
5 7  //C84
5 6  //C85
7 0  //C86
5 9  //C87
6 3  //C88
1 0  //C89
7 3  //C90
0 6  //C91
7 6  //C92
7 8  //C93
9 1  //C94
0 0  //C95
9 0  //C96
2 8  //C97
4 5  //C98
6 1  //C99
