1 // server
3 // machine
100 // customer

 //p, q, a
7 8 0 //M0
8 3 0 //M1
9 6 0 //M2

 M0  M1  M2 
3 6 8  //C0
7 7 5  //C1
5 2 8  //C2
7 9 8  //C3
5 5 0  //C4
4 6 2  //C5
6 7 6  //C6
7 6 7  //C7
5 9 2  //C8
8 0 7  //C9
4 8 7  //C10
5 9 7  //C11
7 3 6  //C12
4 4 3  //C13
5 4 5  //C14
6 1 9  //C15
7 2 1  //C16
6 4 2  //C17
8 5 9  //C18
1 2 7  //C19
3 7 1  //C20
0 3 1  //C21
1 0 5  //C22
3 6 3  //C23
5 2 2  //C24
3 1 2  //C25
2 8 7  //C26
2 0 8  //C27
6 8 3  //C28
4 6 3  //C29
7 6 1  //C30
8 0 7  //C31
2 5 1  //C32
4 5 1  //C33
3 4 5  //C34
7 0 2  //C35
9 5 3  //C36
7 9 3  //C37
0 1 7  //C38
2 3 4  //C39
7 6 3  //C40
1 5 0  //C41
2 7 1  //C42
5 1 6  //C43
0 7 2  //C44
6 8 5  //C45
3 8 8  //C46
1 5 1  //C47
9 0 7  //C48
7 7 9  //C49
9 9 1  //C50
7 6 9  //C51
7 1 9  //C52
5 5 2  //C53
0 4 4  //C54
7 6 1  //C55
0 4 2  //C56
1 9 5  //C57
5 6 1  //C58
2 2 4  //C59
2 4 9  //C60
2 5 1  //C61
4 3 1  //C62
3 8 6  //C63
6 8 2  //C64
6 0 0  //C65
6 2 3  //C66
6 6 3  //C67
6 7 0  //C68
6 1 0  //C69
8 4 9  //C70
4 2 0  //C71
2 8 8  //C72
2 3 3  //C73
9 7 5  //C74
6 5 0  //C75
2 9 6  //C76
0 6 9  //C77
1 6 8  //C78
6 5 7  //C79
1 8 1  //C80
0 5 4  //C81
6 2 5  //C82
2 3 1  //C83
1 4 9  //C84
9 6 9  //C85
7 9 2  //C86
9 3 2  //C87
4 7 8  //C88
0 2 6  //C89
2 6 3  //C90
0 0 4  //C91
2 9 1  //C92
1 0 2  //C93
4 0 5  //C94
4 8 2  //C95
0 1 9  //C96
8 8 5  //C97
5 2 4  //C98
8 6 8  //C99
